date,artist,front_person_age,song,discogs_genre,length_sec,simplified_key,lyrical_topic,explicit,discogs_genre_cleaned,year,decade,lyrical_topic_split
1972-12-16 00:00:00+00:00,Billy Paul,38.0,Me and Mrs. Jones,Funk/Soul,284,Ab,Forbidden Love;Infidelity,0,Funk/Soul,1972,1970,"['Forbidden Love', 'Infidelity']"
1973-01-06 00:00:00+00:00,Carly Simon,27.0,You're So Vain,Rock;Pop,258,C,Lost Love;Anger,0,Rock,1973,1970,"['Lost Love', 'Anger']"
1973-01-27 00:00:00+00:00,Stevie Wonder,22.0,Superstition,Funk/Soul,245,Ebm,Superstition,0,Funk/Soul,1973,1970,['Superstition']
1973-02-03 00:00:00+00:00,Elton John,25.0,Crocodile Rock,Rock;Pop,235,G,Dancing;Growing Up;Better Times;Lost Love;Listening to Music,0,Rock,1973,1970,"['Dancing', 'Growing Up', 'Better Times', 'Lost Love', 'Listening to Music']"
1973-02-24 00:00:00+00:00,Roberta Flack,36.0,Killing Me Softly with His Song,Funk/Soul,286,Ab,Sadness;Listening to Music,0,Funk/Soul,1973,1970,"['Sadness', 'Listening to Music']"
1973-03-24 00:00:00+00:00,The O'Jays,30.0,Love Train,Funk/Soul,178,C,Coexistence;Respect,0,Funk/Soul,1973,1970,"['Coexistence', 'Respect']"
1973-04-07 00:00:00+00:00,Vicki Lawrence,24.0,The Night the Lights Went Out in Georgia,Funk/Soul;Pop,220,Multiple Keys,Murder;Death;Infidelity,0,Funk/Soul,1973,1970,"['Murder', 'Death', 'Infidelity']"
1973-04-21 00:00:00+00:00,Tony Orlando & Dawn,29.0,Tie a Yellow Ribbon 'Round the Ole Oak Tree,Pop,206,F,Love,1,Pop,1973,1970,['Love']
1973-05-19 00:00:00+00:00,Stevie Wonder,23.0,You are the Sunshine of My Life,Funk/Soul,172,B,Love,0,Funk/Soul,1973,1970,['Love']
1973-06-02 00:00:00+00:00,Paul McCartney & Wings,30.0,My Love,Rock,247,F,Love,0,Rock,1973,1970,['Love']
1973-06-30 00:00:00+00:00,George Harrison,30.0,Give Me Love (Give Me Peace on Earth),Rock;Pop,215,F,Hope;Love;Enlightement;God,0,Rock,1973,1970,"['Hope', 'Love', 'Enlightement', 'God']"
1973-07-07 00:00:00+00:00,Billy Preston,26.0,Will it Go Round in Circles,Funk/Soul,224,Abm,Playing Music,0,Funk/Soul,1973,1970,['Playing Music']
1973-07-21 00:00:00+00:00,Jim Croce,30.0,"Bad, Bad Leroy Brown",Rock,181,G,Bad Behavior;Lust/Sex;Violence,1,Rock,1973,1970,"['Bad Behavior', 'Lust/Sex', 'Violence']"
1973-08-04 00:00:00+00:00,Maureen McGovern,24.0,The Morning After,Pop;Stage & Screen,141,Multiple Keys,Hope,0,Pop,1973,1970,['Hope']
1973-08-18 00:00:00+00:00,Diana Ross,29.0,Touch Me in the Morning,Funk/Soul,207,Db,Lust/Sex,0,Funk/Soul,1973,1970,['Lust/Sex']
1973-08-25 00:00:00+00:00,Stories,25.0,Brother Louie,Rock,235,Am,Forbidden Love,0,Rock,1973,1970,['Forbidden Love']
1973-09-08 00:00:00+00:00,Marvin Gaye,34.0,Let's Get it On,Funk/Soul,240,Eb,Lust/Sex,1,Funk/Soul,1973,1970,['Lust/Sex']
1973-09-15 00:00:00+00:00,Helen Reddy,31.0,Delta Dawn,Rock;Pop,190,C,Lost Love,0,Rock,1973,1970,['Lost Love']
1973-09-29 00:00:00+00:00,Grand Funk,24.0,We're an American Band,Rock,307,D,Partying;Playing Music;Lust/Sex;Bands,0,Rock,1973,1970,"['Partying', 'Playing Music', 'Lust/Sex', 'Bands']"
1973-10-06 00:00:00+00:00,Cher,27.0,Half-Breed,Rock,167,Am,Life;Growing Up;Racism,0,Rock,1973,1970,"['Life', 'Growing Up', 'Racism']"
1973-10-20 00:00:00+00:00,The Rolling Stones,30.0,Angie,Rock;Pop,272,C,Lost Love,0,Rock,1973,1970,['Lost Love']
1973-10-27 00:00:00+00:00,Gladys Knight & the Pips,29.0,Midnight Train to Georgia,Funk/Soul,237,Db,Dreaming;Failure;Home;Love,0,Funk/Soul,1973,1970,"['Dreaming', 'Failure', 'Home', 'Love']"
1973-11-10 00:00:00+00:00,Eddie Kendricks,33.0,Keep on Truckin',Funk/Soul,212,Fm,Lust/Sex,0,Funk/Soul,1973,1970,['Lust/Sex']
1973-11-24 00:00:00+00:00,Ringo Starr,33.0,Photograph,Rock,239,E,Lost Love,0,Rock,1973,1970,['Lost Love']
1973-12-01 00:00:00+00:00,The Carpenters,23.0,Top of the World,Rock,179,Bb,Love,0,Rock,1973,1970,['Love']
1973-12-15 00:00:00+00:00,Charlie Rich,41.0,The Most Beautiful Girl,Rock;Pop,162,G,Lost Love,0,Rock,1973,1970,['Lost Love']
1973-12-29 00:00:00+00:00,Jim Croce,30.0,Time in a Bottle,Rock;Pop,147,Multiple Keys,Time;Love,0,Rock,1973,1970,"['Time', 'Love']"
1974-01-12 00:00:00+00:00,Steve Miller Band,30.0,The Joker,Rock,217,F,Lust/Sex,0,Rock,1974,1970,['Lust/Sex']
1974-01-19 00:00:00+00:00,Al Wilson,34.0,Show and Tell,Funk/Soul,207,D,Love;Longing for Love,0,Funk/Soul,1974,1970,"['Love', 'Longing for Love']"
1974-01-26 00:00:00+00:00,Ringo Starr,33.0,You're Sixteen,Rock;Pop,169,Ab,Lust/Sex,0,Rock,1974,1970,['Lust/Sex']
1974-02-02 00:00:00+00:00,Barbra Streisand,31.0,The Way We Were,Pop,211,A,Lost Love,0,Pop,1974,1970,['Lost Love']
1974-03-02 00:00:00+00:00,Terry Jacks,29.0,Seasons in the Sun,Rock;Pop,186,Multiple Keys,Death;Time,0,Rock,1974,1970,"['Death', 'Time']"
1974-03-23 00:00:00+00:00,Cher,27.0,Dark Lady,Rock;Pop,209,Cm,Murder;Death;Infidelity,0,Rock,1974,1970,"['Murder', 'Death', 'Infidelity']"
1974-03-30 00:00:00+00:00,John Denver,30.0,Sunshine on My Shoulders,"Folk, World, & Country",208,Bb,Hope;Friendship,0,Folk,1974,1970,"['Hope', 'Friendship']"
1974-04-06 00:00:00+00:00,Blue Swede,26.0,Hooked on a Feeling,Rock;Pop,173,Ab,Lust/Sex;Love,0,Rock,1974,1970,"['Lust/Sex', 'Love']"
1974-04-13 00:00:00+00:00,Elton John,27.0,Bennie and the Jets,Rock,323,C,Bands,0,Rock,1974,1970,['Bands']
1974-05-04 00:00:00+00:00,Grand Funk,24.33333333333333,The Loco-motion,Rock,167,D,Dancing,0,Rock,1974,1970,['Dancing']
1974-05-18 00:00:00+00:00,Ray Stevens,35.0,The Streak,Rock;Pop,198,C,Nudity,0,Rock,1974,1970,['Nudity']
1974-06-08 00:00:00+00:00,Paul McCartney & Wings,31.0,Band on the Run,Rock,309,G,Escape;Bands,0,Rock,1974,1970,"['Escape', 'Bands']"
1974-06-29 00:00:00+00:00,Gordon Lightfoot,35.0,Sundown,Rock,213,Gb,Lost Love,0,Rock,1974,1970,['Lost Love']
1974-07-06 00:00:00+00:00,Hues Corporation,30.0,Rock the Boat,Funk/Soul,203,Eb,Love,0,Funk/Soul,1974,1970,['Love']
1974-07-13 00:00:00+00:00,George McCrae,29.0,Rock Your Baby,Funk/Soul;Pop,199,Eb,Lust/Sex,0,Funk/Soul,1974,1970,['Lust/Sex']
1974-07-27 00:00:00+00:00,John Denver,30.0,Annie's Song,Rock,181,D,Love,0,Rock,1974,1970,['Love']
1974-08-10 00:00:00+00:00,Roberta Flack,37.0,Feel Like Makin' Love,Funk/Soul,175,Eb,Lust/Sex,1,Funk/Soul,1974,1970,['Lust/Sex']
1974-08-17 00:00:00+00:00,Paper Lace,26.0,The Night Chicago Died,Rock,203,C,Murder;Death,0,Rock,1974,1970,"['Murder', 'Death']"
1974-08-24 00:00:00+00:00,Paul Anka & Odia Coates,32.5,(You're) Having My Baby,Pop,156,C,Child Birth;Family;Love,0,Pop,1974,1970,"['Child Birth', 'Family', 'Love']"
1974-09-14 00:00:00+00:00,Eric Clapton,29.0,I Shot the Sheriff,Rock,210,Gm,Murder,0,Rock,1974,1970,['Murder']
1974-09-21 00:00:00+00:00,Barry White,30.0,"Can't Get Enough of Your Love, Babe",Funk/Soul,229,F,Lust/Sex,1,Funk/Soul,1974,1970,['Lust/Sex']
1974-09-28 00:00:00+00:00,Andy Kim,27.0,Rock Me Gently,Rock,208,C,Lust/Sex,0,Rock,1974,1970,['Lust/Sex']
1974-10-05 00:00:00+00:00,Olivia Newton-John,26.0,I Honestly Love You,Pop,221,Bb,Love;Forbidden Love,0,Pop,1974,1970,"['Love', 'Forbidden Love']"
1974-10-19 00:00:00+00:00,Billy Preston,28.0,Nothing from Nothing,Funk/Soul,158,C,Lust/Sex,0,Funk/Soul,1974,1970,['Lust/Sex']
1974-10-26 00:00:00+00:00,Dionne Warwick & The Spinners,33.0,Then Came You,Funk/Soul,239,F,Love,0,Funk/Soul,1974,1970,['Love']
1974-11-02 00:00:00+00:00,Stevie Wonder,24.0,You Haven't Done Nothin',Funk/Soul,203,Ebm,Anger,0,Funk/Soul,1974,1970,['Anger']
1974-11-09 00:00:00+00:00,Bachman-Turner Overdrive,31.0,You Ain't Seen Nothing Yet,Rock,218,A,Lust/Sex,0,Rock,1974,1970,['Lust/Sex']
1974-11-16 00:00:00+00:00,John Lennon,34.0,Whatever Gets You Thru the Night,Rock,206,D,Hope;Faithfulness,0,Rock,1974,1970,"['Hope', 'Faithfulness']"
1974-11-23 00:00:00+00:00,Billy Swam,32.0,I Can Help,Rock,178,C,Lust/Sex,0,Rock,1974,1970,['Lust/Sex']
1974-12-07 00:00:00+00:00,Carl Douglas,32.0,Kung Fu Fighting,"Funk/Soul;Folk, World, & Country",195,D,Fighting,0,Funk/Soul,1974,1970,['Fighting']
1974-12-21 00:00:00+00:00,Harry Chapin,32.0,Cat's in the Cradle,Rock,212,F,Growing Up;Childhood;Bad Relationships,0,Rock,1974,1970,"['Growing Up', 'Childhood', 'Bad Relationships']"
1974-12-28 00:00:00+00:00,Helen Reddy,33.0,Angie Baby,Rock,211,Gm,Lust/Sex;Dancing;Escape,0,Rock,1974,1970,"['Lust/Sex', 'Dancing', 'Escape']"
1975-01-04 00:00:00+00:00,Elton John,27.0,Lucy in the Sky with Diamonds,Rock,354,Multiple Keys,Love;Appreciation,0,Rock,1975,1970,"['Love', 'Appreciation']"
1975-01-18 00:00:00+00:00,Barry Manilow,31.0,Mandy,Rock;Pop,195,Bb,Lost Love,0,Rock,1975,1970,['Lost Love']
1975-01-25 00:00:00+00:00,The Carpenters,24.0,Please Mr. Postman,Pop,172,A,Lost Love;Love,0,Pop,1975,1970,"['Lost Love', 'Love']"
1975-02-01 00:00:00+00:00,Neil Sedaka,35.0,Laughter in the Rain,Rock;Pop,170,F,Love,0,Rock,1975,1970,['Love']
1975-02-15 00:00:00+00:00,Linda Ronstadt,28.0,You're No Good,"Funk/Soul;Folk, World, & Country",224,Bbm,Bad Relationships;Lost Love;Longing for Love;Regret,0,Funk/Soul,1975,1970,"['Bad Relationships', 'Lost Love', 'Longing for Love', 'Regret']"
1975-03-01 00:00:00+00:00,Eagles,27.0,Best of My Love,Rock,330,C,Lost Love,0,Rock,1975,1970,['Lost Love']
1975-03-08 00:00:00+00:00,Olivia Newton-John,26.0,Have You Never Been Mellow,Pop,210,C,Calming Down,0,Pop,1975,1970,['Calming Down']
1975-03-15 00:00:00+00:00,The Doobie Brothers,26.0,Black Water,Rock;Pop,255,D,Dancing;Partying,0,Rock,1975,1970,"['Dancing', 'Partying']"
1975-03-22 00:00:00+00:00,Frankie Valli,41.0,My Eyes Adored You,Funk/Soul,212,D,Lost Love;Love;Growing Up,0,Funk/Soul,1975,1970,"['Lost Love', 'Love', 'Growing Up']"
1975-03-29 00:00:00+00:00,LaBelle,30.0,Lady Marmalade,Funk/Soul,236,Dm,Lust/Sex,0,Funk/Soul,1975,1970,['Lust/Sex']
1975-03-29 00:00:00+00:00,Minnie Riperton,27.0,Lovin' You,Funk/Soul,204,A,Love,0,Funk/Soul,1975,1970,['Love']
1975-04-12 00:00:00+00:00,Elton John,28.0,Philadelphia Freedom,Rock,325,A,Appreciation;Love,0,Rock,1975,1970,"['Appreciation', 'Love']"
1975-04-26 00:00:00+00:00,B.J. Thomas,32.0,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,Rock,206,E,Lost Love,0,Rock,1975,1970,['Lost Love']
1975-05-03 00:00:00+00:00,Tony Orlando & Dawn,31.0,He Don't Love You (Like I Love You),Rock,219,A,Longing for Love,0,Rock,1975,1970,['Longing for Love']
1975-05-24 00:00:00+00:00,"Earth, Wind & Fire",34.0,Shining Star,Funk/Soul,170,Em,Dreaming;Empowerment,0,Funk/Soul,1975,1970,"['Dreaming', 'Empowerment']"
